"ISIN","Company","Country"
"TW0001312007","Grand Pacific Petrochemical Corp","Taiwan"
"VGG6529J1003","GDEV Inc.","Virgin Islands; British"
"ECP516721068","Holcim Ecuador SA","Ecuador"
"MT0001390104","Raketech Group Holding PLC","Malta"
"BD0103IFIC07","IFIC Bank Plc","Bangladesh"
"US53000N1081","LianBio","United States of America"
"TW0002104007","International CSRC Investment Holdings Co Ltd","Taiwan"
"TW0003152005","Advanced Ceramic X Corp","Taiwan"
"CA62426E4022","Mountain Province Diamonds Inc","Canada"
"US30219Q1067","Expensify Inc","United States of America"
"TRASMENS91H3","Turk Prysmian Kablo ve Sistemleri AS","Turkey"
"INE320J01015","RITES Ltd","India"
"SE0003883800","DistIT AB","Sweden"
"AU0000157067","29Metals Ltd","Australia"
"JP3386550002","GMO Financial Holdings Inc","Japan"
"US94724R1086","Weave Communications Inc","United States of America"
"KR7377300009","KakaoPay Corp","Korea; Republic (S. Korea)"
"JP3250800004","Kintetsu Department Store Co Ltd","Japan"
"JP3659300002","Nishimatsuya Chain Co Ltd","Japan"
"ID1000125800","Adi Sarana Armada Tbk PT","Indonesia"
"US86337R1032","Stronghold Digital Mining Inc","Unable to resolve all requested identifiers."
"KYG2176J1058","CK Life Sciences Intl (Holdings) Inc","Hong Kong"
"US09077J1079","Bird Global Inc","Unable to resolve all requested identifiers."
"INE118H01025","BSE Ltd","India"
"KYG2006G1156","Central Holding Group Co Ltd","Hong Kong"
"US10576N1028","Braze Inc","United States of America"
"KR7365550003","ESR Kendall Square REIT Co Ltd","Korea; Republic (S. Korea)"
"IE00BLP58571","Irish Continental Group PLC","Ireland; Republic of"
"FI0009000103","Alandsbanken Abp","Finland"
"DK0060915478","TCM Group A/S","Denmark"
"US0381692070","Applied Digital Corp","United States of America"
"US0517741072","Aurora Innovation Inc","United States of America"
"JP3342000001","Sanyo Special Steel Co Ltd","Japan"
"SE0018538068","Media and Games Invest SE","Sweden"
"LK0390N00001","Browns Investments PLC","Sri Lanka"
"US8086441081","Science 37 Holdings Inc","United States of America"
"DE0006968001","PWO AG","Germany"
"TW0006670003","FuSheng Precision Co Ltd","Taiwan"
"ZW0009012395","BridgeFort Capital Limited","Zimbabwe"
"MU0456S00006","Alphamin Resources Corp","Mauritius"
"INE518A01013","Forbes & Company Ltd","India"
"US6541101050","Nikola Corporation","United States of America"
"US6960774031","Palatin Technologies Inc","Unable to resolve all requested identifiers."
"AU0000183543","Siteminder Ltd","Australia"
"INE805D01034","Sunteck Realty Ltd","India"
"SE0005162880","Diamyd Medical AB","Sweden"
"INE285A01027","Elgi Equipments Ltd","India"
"SE0009973563","XSpray Pharma AB (publ)","Sweden"
"SE0015811807","Bjorn Borg AB","Unable to resolve all requested identifiers."
"KR7166090001","Hana Materials Inc","Korea; Republic (S. Korea)"
"INE418H01029","Allcargo Logistics Ltd","India"
"NL0015000M91","Wallbox NV","Spain"
"JP3152670000","Insource Co Ltd","Japan"
"INE285J01028","SIS Ltd","India"
"INE666D01022","Borosil Renewables Ltd","India"
"SE0002190926","Karolinska Development AB","Sweden"
"JP3154500007","Weathernews Inc","Japan"
"TW0006196009","Marketech International Corp","Taiwan"
"PHY1001D1010","AREIT, Inc","Philippines"
"ID1000133408","PT Bank Neo Commerce Tbk","Indonesia"
"DK0010304500","Vestjysk Bank A/S","Denmark"
"IL0010940448","Electra Real Estate Ltd","Israel"
"SI0021111651","Zavarovalnica Triglav dd","Slovenia"
"KR7084370006","Eugene Technology Co Ltd","Korea; Republic (S. Korea)"
"SE0003943620","Enzymatica AB (publ)","Sweden"
"ID1000101504","Sinar Mas Agro Resources and Technology Tbk PT","Indonesia"
"INE388Y01029","Fsn E-Commerce Ventures Ltd","India"
"FI4000178256","Consti Oyj","Finland"
"KYG4403H1002","Hbm Holdings Ltd","Hong Kong"
"KYG4750S1131","Imperium Technology Group Ltd","Hong Kong"
"TW0001232007","TTET Union Corp","Taiwan"
"KYG7013H1056","Perfect Medical Health Management Ltd","Hong Kong"
"GB00BLGXWY71","WAG Payment Solutions PLC","United Kingdom"
"JE00BQWMWC12","Babylon Holdings Ltd","United States of America"
"TW0003019006","Asia Optical Co Inc","Taiwan"
"KYG2701R1011","Crystal International Group Ltd","Hong Kong"
"TW0006446008","PharmaEssentia Corp","Taiwan"
"SE0016797732","Storskogen Group AB (publ)","Sweden"
"INE481N01025","Home First Finance Company India Ltd","India"
"SE0007184189","Genova Property Group AB","Sweden"
"US03945R1023","Archer Aviation Inc","United States of America"
"JP3165870001","Enechange Ltd","Japan"
"SE0002016352","C Rad AB","Sweden"
"DE0007448508","IVU Traffic Technologies AG","Germany"
"KR7353200009","Daeduck Electronics Co Ltd","Korea; Republic (S. Korea)"
"EGS743O1C013","E-finance for Digital and Financial Investements","Egypt"
"VN000000HCM0","Ho Chi Minh City Securities Corp","Vietnam"
"AEA000701010","Al Waha Capital PJSC","United Arab Emirates"
"BMG1223L1054","Boe Varitronix Ltd","Hong Kong"
"TW0003515003","ASRock Inc","Taiwan"
"US92854T1007","Vivid Seats Inc","United States of America"
"DE0005498901","DATA MODUL Produktion und Vertrieb von elektronischen Systemen AG","Germany"
"ID1000164205","Dayamitra Telekomunikasi PT","Indonesia"
"GRS001003037","Attica Bank SA","Unable to resolve all requested identifiers."
"TW0002351004","SDI Corp","Taiwan"
"JP3801300009","PHC Holdings Corp","Japan"
"KZ0009093241","Kazakhtelekom AO","Kazakhstan"
"DE000A1A6V48","KPS AG","Germany"
"TW0005434005","Topco Scientific Co Ltd","Taiwan"
"KYG213071064","Ci&T Inc","Brazil"
"IT0005455875","Intercos SpA","Italy"
"ID1000160302","Triputra Agro Persada Tbk PT","Indonesia"
"IT0005438046","Seco SpA","Italy"
"SE0016829709","Synsam AB (publ)","Sweden"
"DE0005706535","EUROKAI GmbH & Co KgaA","Germany"
"INE260D01016","Olectra Greentech Ltd","India"
"US60938K1060","MoneyLion Inc","Unable to resolve all requested identifiers."
"JP3383270000","Simplex Holdings Inc","Japan"
"PEP133001003","Mibanco Banco de la Microempresa SA","Peru"
"GB00BK63S759","Brickability Group PLC","United Kingdom"
"TRALOGOW91U2","Logo Yazilim Sanayi ve Ticaret AS","Turkey"
